p6020;dpto;a�o;pt_dpto;pet_dpto;pea_dpto;pei_dpto;empleados_dpto;desempleados_dpto;pt_gen_dpto;pet_gen_dpto;pea_gen_dpto;pei_gen_dpto;empleados_gen_dpto;desempleados_gen_dpto;nom_dep
mujer;23;2015;17927724;13807627;8922238;5191098.5;8342552.5;579685.75;9150342;7100117;3548068.5;3670805.8;3183261;364807.53;CORDOBA
mujer;23;2011;17618976;13038303;8835595;4487075;7653273;1182322;8660875;6496412;3562480.3;3061447.8;2960942.5;601537.94;CORDOBA
mujer;23;2019;18548756;14498936;8937353;5828592;7863212.5;1074140.9;9303173;7367408.5;3765828.8;3723884;3169262.8;596566;CORDOBA
mujer;23;2013;17935742;13520656;8388148.5;5507515;7662040.5;726108.25;9075609;6950050.5;3332469.3;3771977.5;2934038.3;398430.81;CORDOBA
hombre;23;2017;18369368;14146887;9039607;5436832;8146765;892841.69;8960626;6864811.5;5217836.5;1811445.5;4899071.5;318765.25;CORDOBA
hombre;23;2014;17576532;13416970;8227811.5;5486871.5;7631940;595871.44;8751000;6549186.5;5013875;1696375.6;4738185.5;275689.13;CORDOBA
hombre;23;2015;17927724;13807627;8922238;5191098.5;8342552.5;579685.75;8777382;6707509.5;5374170;1520292.6;5159291.5;214878.22;CORDOBA
mujer;23;2018;18582972;14411300;9018849;5664255.5;8193601;825247.63;9393516;7308587;3698049.3;3738887;3245645.5;452403.88;CORDOBA
hombre;23;2019;18548756;14498936;8937353;5828592;7863212.5;1074140.9;9245582;7131527.5;5171524.5;2104708;4693949.5;477574.84;CORDOBA
hombre;23;2018;18582972;14411300;9018849;5664255.5;8193601;825247.63;9189455;7102713;5320799.5;1925368.4;4947955.5;372843.75;CORDOBA
mujer;23;2012;17731842;13361919;8705584;4876430.5;7650947;1054637.1;8862770;6746869;3511564.8;3318446.8;2933631.3;577933.63;CORDOBA
hombre;23;2016;18210742;14061287;8612186;5770848.5;7710876.5;901309.31;8927136;6884198.5;5044869;2017426.3;4688588;356281.13;CORDOBA
mujer;23;2017;18369368;14146887;9039607;5436832;8146765;892841.69;9408743;7282075.5;3821770;3625386.5;3247693.5;574076.44;CORDOBA
hombre;23;2013;17935742;13520656;8388148.5;5507515;7662040.5;726108.25;8860134;6570605;5055679.5;1735537.4;4728002;327677.44;CORDOBA
hombre;23;2011;17618976;13038303;8835595;4487075;7653273;1182322;8958101;6541890.5;5273115;1425627.4;4692331;580784;CORDOBA
hombre;23;2012;17731842;13361919;8705584;4876430.5;7650947;1054637.1;8869073;6615050;5194019.5;1557984;4717316;476703.5;CORDOBA
